"id","created_at","updated_at","deleted_at","deletedTracker","published_at","locale_name","default_entity_locale_id","ministry_name","created_by_id","updated_by_id"
4416,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Railways,,
3619,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,"Ministry of Ports, Shipping and Waterways",,
3765,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Power,,
5,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Chemicals and Fertilizers,,
5413,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Steel,,
319,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Defence,,
5936,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Urban Development,,
2640,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Petroleum and Natural Gas,,
2422,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Mines,,
2630,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of New and Renewable Energy,,
2119,2025-11-13 13:47:18.749,2025-11-13 13:47:18.749,,not-deleted,,,,Ministry of Heavy Industries and Public Enterprises,,
