"id","created_at","updated_at","deleted_at","deletedTracker","published_at","locale_name","default_entity_locale_id","organization_name","created_by_id","updated_by_id","bid_plus_gem_portal_ministry_master_id_id"
5,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BENGAL CHEMICALS AND PHARMACEUTICALS LIMITED (BCPL),,,5
1042,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,EX-SERVICEMEN CONTRIBUTORY HEALTH SCHEME (ECHS),,,319
1589,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MOD SECTT ESTABLISHMENT,,,319
1525,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MAZAGON DOCK SHIPBUILDERS LIMITED,,,319
646,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BORDER ROAD ORGANISATION,,,319
2264,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BRIDGE AND ROOF COMPANY (INDIA) LIMITED,,,2119
158,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH (NIPER) GUWAHATI,,,5
6,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BRAHMAPUTRA VALLEY FERTILIZER CORPORATION LIMITED (BVFCL),,,5
19,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY (CIPET),,,5
1552,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MISHRA DHATU NIGAM LIMITED (MIDHANI),,,319
446,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ARMOURED VEHICLES NIGAM LIMITED,,,319
63,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,"JOINT VENTURE OF CIL, NTPC, IOCL, FCIL & HFCL",,,5
99,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,KARNATAKA ANTIBIOTICS AND PHARMACEUTICALS LIMITED,,,5
100,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MADRAS FERTILIZERS LIMITED (MFL),,,5
174,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH (NIPER) RAE BARELI,,,5
21,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY (CIPET),,,5
34,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,FCI ARAVALI GYPSUM AND MINERALS INDIA LIMITED (FAGMIL),,,5
36,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HINDUSTAN ANTIBIOTICS LIMITED,,,5
